model_name,parse_tree
G1,"1{8{11,17,22,20,58},25,23,35}"
G2,"1{8{12,19,22,22,58},26,23,34}"
G3,"4{6{8{12,16,20,20,58},8{11,16,22,22,58}},6{8{12,16,22,22,58},8{11,18,22,21,57}},25,23,24,23,23,44}"
G4,"1{8{11,19,22,20,58},25,23,34}"
G5,"5{7{9{11,11,16,20,20,21,20,58}},7{9{11,10{28{30{32,30{33,30{32,31{32}}}},28{31{32},29{31{32}}}},28{30{33,31{32}},29{31{33}}}},16,21,20,22,20,58}},8{11,16,20,20,57},25,23,23,23,23,24,44}"
G6,"2{6{8{11,16,20,20,58},8{12,16,20,22,58}},26,23,23,36}"
G7,"2{6{8{13,16,20,20,58},8{11,17,22,20,58}},25,23,23,36}"
G8,"2{6{8{11,17,20,22,58},8{11,16,20,20,58}},25,23,23,37}"
G9,"1{8{11,16,22,20,58},25,23,34}"
G10,"1{8{10{28{31{32},28{31{32},29{30{33,30{33,30{32,31{32}}}}}}},29{30{33,30{32,31{32}}}}},18,22,21,58},25,23,34}"
